Mode,MeanRegret,TargetsFound,Collisions,CumReward,TimeSteps,Runtime(s)
TWTD,70.57299493831846,2.79,10.14,-4277.336220927086,119.64,199.57
LOS,10.898756445168786,2.86,19.2,-49855.009648931584,587.32,10.74
