Gamma,MeanRegret,StdRegret,TargetsFound,Collisions,CumReward
0.05,42.057548231448436,30.66972741018963,2.87,1.76,-801.962790454506
0.1,0.05048774252280119,0.05423436295571464,3.0,6.0,-8700.776745035102
0.15,0.25162242622361203,0.4010484293006417,3.0,13.77,-15080.31576753839
0.2,0.19853039228778663,0.1339142727249623,3.0,19.03,-12666.675142837195
