regret: -0.242	regret bound: 33.671	weights: (0.648, 0.352, 0.000)
regret: -0.240	regret bound: 33.867	weights: (0.658, 0.342, 0.000)
regret: -0.237	regret bound: 34.061	weights: (0.645, 0.355, 0.000)
regret: -0.234	regret bound: 34.254	weights: (0.655, 0.345, 0.000)
regret: -0.231	regret bound: 34.446	weights: (0.642, 0.358, 0.000)
regret: -0.229	regret bound: 34.636	weights: (0.652, 0.348, 0.000)
regret: -0.226	regret bound: 34.826	weights: (0.634, 0.366, 0.000)
regret: -0.224	regret bound: 35.015	weights: (0.645, 0.355, 0.000)
regret: -0.221	regret bound: 35.203	weights: (0.627, 0.373, 0.000)
regret: -0.219	regret bound: 35.390	weights: (0.627, 0.373, 0.000)
regret: -0.217	regret bound: 35.575	weights: (0.638, 0.362, 0.000)
regret: -0.215	regret bound: 35.760	weights: (0.648, 0.352, 0.000)
regret: -0.212	regret bound: 35.944	weights: (0.631, 0.369, 0.000)
regret: -0.210	regret bound: 36.127	weights: (0.613, 0.387, 0.000)
regret: -0.208	regret bound: 36.309	weights: (0.624, 0.376, 0.000)
regret: -0.207	regret bound: 36.490	weights: (0.635, 0.365, 0.000)
regret: -0.204	regret bound: 36.670	weights: (0.645, 0.355, 0.000)
regret: -0.203	regret bound: 36.849	weights: (0.628, 0.372, 0.000)
regret: -0.202	regret bound: 37.028	weights: (0.638, 0.362, 0.000)
regret: -0.200	regret bound: 37.206	weights: (0.649, 0.351, 0.000)
regret: -0.198	regret bound: 37.382	weights: (0.659, 0.341, 0.000)
regret: -0.196	regret bound: 37.558	weights: (0.645, 0.355, 0.000)
regret: -0.195	regret bound: 37.733	weights: (0.628, 0.372, 0.000)
regret: -0.193	regret bound: 37.908	weights: (0.611, 0.389, 0.000)
regret: -0.190	regret bound: 38.081	weights: (0.611, 0.389, 0.000)
regret: -0.189	regret bound: 38.254	weights: (0.622, 0.378, 0.000)
regret: -0.187	regret bound: 38.426	weights: (0.605, 0.395, 0.000)
regret: -0.186	regret bound: 38.597	weights: (0.588, 0.412, 0.000)
regret: -0.184	regret bound: 38.767	weights: (0.572, 0.428, 0.000)
regret: -0.183	regret bound: 38.937	weights: (0.584, 0.416, 0.000)
regret: -0.181	regret bound: 39.106	weights: (0.596, 0.404, 0.000)
regret: -0.180	regret bound: 39.274	weights: (0.584, 0.416, 0.000)
regret: -0.178	regret bound: 39.442	weights: (0.584, 0.416, 0.000)
regret: -0.176	regret bound: 39.608	weights: (0.567, 0.433, 0.000)
regret: -0.175	regret bound: 39.774	weights: (0.552, 0.448, 0.000)
regret: -0.174	regret bound: 39.940	weights: (0.536, 0.464, 0.000)
regret: -0.172	regret bound: 40.104	weights: (0.521, 0.479, 0.000)
regret: -0.171	regret bound: 40.268	weights: (0.507, 0.493, 0.000)
regret: -0.170	regret bound: 40.432	weights: (0.521, 0.479, 0.000)
regret: -0.168	regret bound: 40.595	weights: (0.506, 0.494, 0.000)
regret: -0.167	regret bound: 40.757	weights: (0.520, 0.480, 0.000)
regret: -0.165	regret bound: 40.918	weights: (0.530, 0.470, 0.000)
regret: -0.164	regret bound: 41.079	weights: (0.515, 0.485, 0.000)
regret: -0.163	regret bound: 41.239	weights: (0.501, 0.499, 0.000)
regret: -0.162	regret bound: 41.398	weights: (0.487, 0.513, 0.000)
regret: -0.161	regret bound: 41.557	weights: (0.473, 0.527, 0.000)
regret: -0.160	regret bound: 41.716	weights: (0.460, 0.540, 0.000)
regret: -0.158	regret bound: 41.873	weights: (0.475, 0.525, 0.000)
regret: -0.157	regret bound: 42.031	weights: (0.462, 0.538, 0.000)
regret: -0.156	regret bound: 42.187	weights: (0.448, 0.552, 0.000)
regret: -0.155	regret bound: 42.343	weights: (0.436, 0.564, 0.000)
regret: -0.154	regret bound: 42.498	weights: (0.451, 0.549, 0.000)
regret: -0.153	regret bound: 42.653	weights: (0.463, 0.537, 0.000)
regret: -0.151	regret bound: 42.808	weights: (0.463, 0.537, 0.000)
regret: -0.150	regret bound: 42.961	weights: (0.478, 0.522, 0.000)
regret: -0.149	regret bound: 43.114	weights: (0.478, 0.522, 0.000)
regret: -0.148	regret bound: 43.267	weights: (0.464, 0.536, 0.000)
regret: -0.147	regret bound: 43.419	weights: (0.451, 0.549, 0.000)
regret: -0.146	regret bound: 43.571	weights: (0.439, 0.561, 0.000)
regret: -0.145	regret bound: 43.722	weights: (0.426, 0.574, 0.000)
regret: -0.144	regret bound: 43.872	weights: (0.426, 0.574, 0.000)
regret: -0.143	regret bound: 44.022	weights: (0.414, 0.586, 0.000)
regret: -0.142	regret bound: 44.172	weights: (0.402, 0.598, 0.000)
regret: -0.141	regret bound: 44.321	weights: (0.391, 0.609, 0.000)
regret: -0.140	regret bound: 44.469	weights: (0.380, 0.620, 0.000)
regret: -0.140	regret bound: 44.617	weights: (0.397, 0.603, 0.000)
regret: -0.139	regret bound: 44.765	weights: (0.397, 0.603, 0.000)
regret: -0.138	regret bound: 44.912	weights: (0.385, 0.615, 0.000)
regret: -0.137	regret bound: 45.058	weights: (0.375, 0.625, 0.000)
regret: -0.136	regret bound: 45.204	weights: (0.364, 0.636, 0.000)
regret: -0.135	regret bound: 45.350	weights: (0.381, 0.619, 0.000)
regret: -0.134	regret bound: 45.495	weights: (0.370, 0.630, 0.000)
regret: -0.134	regret bound: 45.640	weights: (0.360, 0.640, 0.000)
regret: -0.133	regret bound: 45.784	weights: (0.349, 0.651, 0.000)
regret: -0.132	regret bound: 45.928	weights: (0.339, 0.661, 0.000)
regret: -0.131	regret bound: 46.071	weights: (0.330, 0.670, 0.000)
regret: -0.130	regret bound: 46.214	weights: (0.320, 0.680, 0.000)
regret: -0.130	regret bound: 46.356	weights: (0.320, 0.680, 0.000)
regret: -0.129	regret bound: 46.498	weights: (0.311, 0.689, 0.000)
