regret: 0.204	regret bound: 33.867	weights: (1.000, 0.000, 0.000)
regret: 0.202	regret bound: 34.061	weights: (1.000, 0.000, 0.000)
regret: 0.200	regret bound: 34.254	weights: (1.000, 0.000, 0.000)
regret: 0.238	regret bound: 34.446	weights: (1.000, 0.000, 0.000)
regret: 0.235	regret bound: 34.636	weights: (1.000, 0.000, 0.000)
regret: 0.232	regret bound: 34.826	weights: (1.000, 0.000, 0.000)
regret: 0.230	regret bound: 35.015	weights: (1.000, 0.000, 0.000)
regret: 0.228	regret bound: 35.203	weights: (1.000, 0.000, 0.000)
regret: 0.225	regret bound: 35.390	weights: (1.000, 0.000, 0.000)
regret: 0.223	regret bound: 35.575	weights: (1.000, 0.000, 0.000)
regret: 0.220	regret bound: 35.760	weights: (1.000, 0.000, 0.000)
regret: 0.218	regret bound: 35.944	weights: (1.000, 0.000, 0.000)
regret: 0.216	regret bound: 36.127	weights: (1.000, 0.000, 0.000)
